repo,url,modality,paper_link,license,stars,include,include_reason,category,attemptable_note
zhengfj1994/dysphagia-viscosity-classifier,https://github.com/zhengfj1994/dysphagia-viscosity-classifier,video (smartphone),needs-check,none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,deep-learning viscosity classifier; link to a publication unclear.
arivv22/ai-swallowing-sound-classification,https://github.com/arivv22/ai-swallowing-sound-classification,acoustic,needs-check,none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,swallowing sound MFCC plus neural network; probably a student project (no publication).
Kai-Washino/swallowing-recognition-DLmachine,https://github.com/Kai-Washino/swallowing-recognition-DLmachine,unclear,needs-check,none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,"deep-learning swallowing estimation, notebooks; link to a publication unclear."
YashC1308/Larynx-Prediction-using-sEMG-data,https://github.com/YashC1308/Larynx-Prediction-using-sEMG-data,sEMG,needs-check (laryngectomy),none-shown,3,yes,"in scope, public resolvable repository; included in the 22-repository census",borderline,"laryngectomy sEMG (speech, swallowing, cough); is it dysphagia-specific? borderline."
TanishqJoshi/Larynx-Function-prediction-using-W-KNN-on-sEMG-data,https://github.com/TanishqJoshi/Larynx-Function-prediction-using-W-KNN-on-sEMG-data,sEMG,needs-check,none-shown,2,yes,"in scope, public resolvable repository; included in the 22-repository census",borderline,same data and study as YashC1308 (deduplication).
20206666/Classification-of-chewing-and-swallowing,https://github.com/20206666/Classification-of-chewing-and-swallowing,unclear,needs-check,none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,"chewing and swallowing classification; no description, publication unclear."
SheenZhang721/SwallowingFunctionAnalysis-Self,https://github.com/SheenZhang721/SwallowingFunctionAnalysis-Self,Cine-MRI,MICCAI 2024,none-shown,0,dedup,same underlying study as another included repository; merged at study level,duplicate,the same MICCAI 2024 study as MinghaoSam/SwallowingFunctionAnalysis.
SheenZhang721/TTUnet,https://github.com/SheenZhang721/TTUnet,Cine-MRI,MICCAI 2024,none-shown,0,dedup,same underlying study as another included repository; merged at study level,duplicate,the same MICCAI 2024 study (TTUnet architecture).
excluded-personal-01,https://github.com/excluded-personal-01,-,none,-,0,no,personal learning repository with no associated study,exclude,"'Deep Learning and Swallow growth' - NOT a study, a personal learning repository."
SimonZeng7108/Video-SwinUNet,https://github.com/SimonZeng7108/Video-SwinUNet,VFSS,scoping-candidate,unclear,,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate,from scoping; an earlier vetting pass recorded unclear license and data plus an implied GPU requirement as not_attemptable - re-entered at intake.
ResearchgroupMITI/swallow-detection,https://github.com/ResearchgroupMITI/swallow-detection,HRM/manometry,Communications Medicine 2025 (PMC12678422),CC0-1.0,1,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate-codemine,found by code-link mining (script 10); deep learning for swallow-event detection in long-term HRM; CC0 license and a datasets/ directory but NO weights -> not_attemptable. Journal in good standing (Web of Science listed).
enoch0307/streamlitapp_cn,https://github.com/enoch0307/streamlitapp_cn,clinical/tabular,iScience 2026 (PMC12803820),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate-ATTEMPTABLE,"found by code-link mining (script 10); interpretable ML for dysphagia screening and staging; requirements.txt plus Binary.pkl and Multi.pkl means WEIGHTS ARE PRESENT -> ATTEMPTABLE, CPU-friendly streamlit app. SECOND CANDIDATE FOR AN ACTUAL RE-RUN."
yonghunsong/Throat-related-events-classification,https://github.com/yonghunsong/Throat-related-events-classification,acoustic/wearable,npj Digital Medicine 2025 (PMC11706958),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate-codemine,"found by code-link mining (script 10); wearable vibration-sensor dysphagia monitoring, multimodal ensemble; NO weights, environment or license -> not_attemptable. Journal in good standing. Post-access observation, 22 Aug 2026: the owning account was renamed and this path now returns HTTP 301 to yhsong06/Throat-related-events-classification. The published link therefore survives only through GitHub rename redirection. Recorded, not absorbed: the row reports the state at its 16 Jul 2026 access date."
ruaeh/Dysphagia-ML,https://github.com/ruaeh/Dysphagia-ML,voice/acoustic,Scientific Reports 2022 (PMC9537337),none-shown,0,yes,"in scope, public resolvable repository; included in the 22-repository census",candidate-codemine,found by code-link mining (script 10); ML on a voice biomarker for post-stroke aspiration; repository EMPTY (0 files) -> the linked-but-empty transparency failure; not_attemptable.
PRI2MA/DL_NTCP_Dysphagia,https://github.com/PRI2MA/DL_NTCP_Dysphagia,RT/imaging,Radiotherapy & Oncology 2025 (PMC12520315),none-shown,2,yes,"in scope, public resolvable repository; included in the 22-repository census",borderline-codemine,"found by code-link mining (script 10); NTCP prediction of late dysphagia after radiotherapy (prognostic toxicity, NOT diagnosis) - the same borderline class as kwahid/ABAS; NO weights or environment -> not_attemptable."
greenapple-sea/Esophagus-Motility-Data,https://github.com/greenapple-sea/Esophagus-Motility-Data,HRM/data,PLoS One 2025 (PMC11828345),Apache-2.0,0,no,data deposit with no computational model; dropped at intake vetting,borderline-data-only,"found by code-link mining (script 10); HRM oesophageal-motility DATA ONLY (no code) -> outside the re-execution census; the oesophageal phase is adjacent to dysphagia, noted as an archive."
