study_id,study,paper,item,code,recorded_basis,assigned_by,evidence_level,correction_2026_08_22
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),RS1 reference-standard type,clinical-outcome (postoperative dysphagia),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),RS2 target validity and surrogate substitution,clinical-outcome prediction (preoperative tabular -> postoperative dysphagia); not instrumental,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),RS3 label scale and granularity,binary (postoperative dysphagia present/absent),yes (binary),text-verifiable,inventory-only,
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),RS4 label reliability,NR,tabular; the label is a postoperative clinical outcome; no kappa,text-verifiable,inventory-only,
C,aht4005/risk-calc,needs-check (anti-reflux postoperative),RS5 spectrum,anti-reflux surgery (GERD) — NOT neurogenic dysphagia; narrow spectrum,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),RS1 reference-standard type,instrumental (cine-MRI),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),RS2 target validity and surrogate substitution,segmentation-mask label,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),RS3 label scale and granularity,anatomical segmentation (tongue/dorsum),n/a (segmentation),text-verifiable,inventory-only,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),RS4 label reliability,NR,no paper match; inferred from the modality,text-verifiable,inventory-only,
D,MinghaoSam/MICCAI24,MICCAI 2024 (could not be confirmed),RS5 spectrum,NR,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
E,scut-jol/CFSCNet,article (could not be confirmed),RS1 reference-standard type,instrumental (VFSS/video),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
E,scut-jol/CFSCNet,article (could not be confirmed),RS2 target validity and surrogate substitution,segmentation label,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
E,scut-jol/CFSCNet,article (could not be confirmed),RS3 label scale and granularity,swallow segmentation,n/a (segmentation),text-verifiable,inventory-only,
E,scut-jol/CFSCNet,article (could not be confirmed),RS4 label reliability,NR,no paper match,text-verifiable,inventory-only,
E,scut-jol/CFSCNet,article (could not be confirmed),RS5 spectrum,NR,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),RS1 reference-standard type,instrumental (CT),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),RS2 target validity and surrogate substitution,segmentation (radiotherapy structure); NOT dysphagia assessment (borderline),full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),RS3 label scale and granularity,anatomical structure contour,n/a (segmentation),text-verifiable,inventory-only,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),RS4 label reliability,NR,no paper match; radiotherapy-planning context,text-verifiable,inventory-only,
F,kwahid/ABAS,MD Anderson RT (could not be confirmed),RS5 spectrum,head-and-neck cancer radiotherapy,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
G,tsukagoshi/liquid,article (could not be confirmed),RS1 reference-standard type,instrumental (VFSS/video),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
G,tsukagoshi/liquid,article (could not be confirmed),RS2 target validity and surrogate substitution,segmentation label,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
G,tsukagoshi/liquid,article (could not be confirmed),RS3 label scale and granularity,liquid-swallow segmentation,n/a (segmentation),text-verifiable,inventory-only,
G,tsukagoshi/liquid,article (could not be confirmed),RS4 label reliability,NR,no paper match,text-verifiable,inventory-only,
G,tsukagoshi/liquid,article (could not be confirmed),RS5 spectrum,NR,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
H,zhengfj1994/viscosity,unclear,RS1 reference-standard type,physical viscosity label (IDDSI?),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
H,zhengfj1994/viscosity,unclear,RS2 target validity and surrogate substitution,physical-viscosity label (not clinical swallowing),full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
H,zhengfj1994/viscosity,unclear,RS3 label scale and granularity,viscosity categories,unclear,text-verifiable,inventory-only,
H,zhengfj1994/viscosity,unclear,RS4 label reliability,NR,no paper match,text-verifiable,inventory-only,
H,zhengfj1994/viscosity,unclear,RS5 spectrum,NR,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
N,MITI/swallow-detection,Communications Medicine 2025,RS1 reference-standard type,instrumental (HRM manometry),"full text: long-term high-resolution manometry, 36 circumferential sensors; swallow start defined by upper-oesophageal-sphincter relaxation in the trace",text-verifiable,abstract+fulltext,
N,MITI/swallow-detection,Communications Medicine 2025,RS2 target validity and surrogate substitution,the target is a manometric swallow event (instrumental); not a proxy,"the model detects the swallow event directly in the manometry signal, so the target is the instrumental event itself",clinician judgment,abstract+fulltext,
N,MITI/swallow-detection,Communications Medicine 2025,RS3 label scale and granularity,event detection (swallow vs non-swallow),n/a (detection),text-verifiable,abstract+fulltext,
N,MITI/swallow-detection,Communications Medicine 2025,RS4 label reliability,NR,full text: manual expert annotation described as 'prone to errors' (acknowledged); no kappa or ICC,text-verifiable,abstract+fulltext,
N,MITI/swallow-detection,Communications Medicine 2025,RS5 spectrum,oesophageal-motility patients,"25 long-term HRM studies from patients with suspected intermittent oesophageal motility disorders, single centre; no healthy controls",clinician judgment,abstract+fulltext,
O,enoch0307/screening,iScience 2026,RS1 reference-standard type,instrumental reference (VFSS + PAS; 30 FPS),full text: fluoroscopic images recorded at 30 frames per second; swallowing function assessed with the Penetration-Aspiration Scale,text-verifiable,fulltext-verified,
O,enoch0307/screening,iScience 2026,RS2 target validity and surrogate substitution,TARGET VALID (not a proxy): the target is VFSS-confirmed dysphagia (instrumental gold standard); the clinical and voice features are input proxies and fall OUTSIDE the scope of RS2,"full text: patients were classified based on VFSS findings, so the label is the instrumental standard; the GRBAS voice and clinical variables are model inputs",clinician judgment,fulltext-verified,
O,enoch0307/screening,iScience 2026,RS3 label scale and granularity,5-class NOMINAL anatomical phase (oral/pharyngeal/oesophageal) + binary — NOT ordinal severity,yes (binary + 5-class nominal),text-verifiable,fulltext-verified,
O,enoch0307/screening,iScience 2026,RS4 label reliability,NR (for the label),"full text: Cohen kappa > 0.8 is reported for the GRBAS voice INPUT, not for the label; a blinded second therapist confirmed qualitatively (no number given)",text-verifiable,fulltext-verified,
O,enoch0307/screening,iScience 2026,RS5 spectrum,older adults; 7 hospitals; healthy controls? NR,"at least 65 years old, seven tertiary hospitals; the comparison group are hospital patients, and no healthy-control arm is described",clinician judgment,fulltext-verified,
P,yonghunsong/Throat-related-events-classification,npj Digit Med 2025,RS1 reference-standard type,no clinical reference standard; experimenter-cued self-performed events,"full text: subjects performed five repetitions each of coughing, speaking, swallowing and throat clearing under a structured protocol, yielding the event counts reported",text-verifiable,abstract+fulltext,"RS1 and RS2 previously read 'unclear' for both. The source states its labelling protocol explicitly, so the determinate and stronger finding is that the study carries no clinical reference standard at all."
P,yonghunsong/Throat-related-events-classification,npj Digit Med 2025,RS2 target validity and surrogate substitution,"label provenance is determinate, not unclear: subjects performed cued events, so a voluntary laboratory swallow stands in for spontaneous or pathological swallowing","the events are self-performed on cue in a controlled setting, which is a surrogate for spontaneous or pathological swallowing in a paper framed around dysphagia",clinician judgment,abstract+fulltext,"RS1 and RS2 previously read 'unclear' for both. The source states its labelling protocol explicitly, so the determinate and stronger finding is that the study carries no clinical reference standard at all."
P,yonghunsong/Throat-related-events-classification,npj Digit Med 2025,RS3 label scale and granularity,event classification,unclear,text-verifiable,abstract+fulltext,"RS1 and RS2 previously read 'unclear' for both. The source states its labelling protocol explicitly, so the determinate and stronger finding is that the study carries no clinical reference standard at all."
P,yonghunsong/Throat-related-events-classification,npj Digit Med 2025,RS4 label reliability,NR,"no agreement statistic in the main text or the supplement; strictly there were no raters, since the events were cued rather than judged",text-verifiable,abstract+fulltext,"RS1 and RS2 previously read 'unclear' for both. The source states its labelling protocol explicitly, so the determinate and stronger finding is that the study carries no clinical reference standard at all."
P,yonghunsong/Throat-related-events-classification,npj Digit Med 2025,RS5 spectrum,"clinical status not reported (32 subjects, ages roughly 22-37)","the supplement lists age, gender, language and split only; the words healthy, patient, dysphagia, disorder and impair do not appear in it",clinician judgment,abstract+fulltext,"RS1 and RS2 previously read 'unclear' for both. The source states its labelling protocol explicitly, so the determinate and stronger finding is that the study carries no clinical reference standard at all."
Q,ruaeh/Dysphagia-ML,Scientific Reports 2022 (PMC9537337),RS1 reference-standard type,instrumental test (VFSS/FEES) linked to a downstream outcome,full text: participants were classified by the findings of the instrumental swallowing test into oral feeding versus tube feeding,text-verifiable,fulltext-verified,"RS2 previously read 'PROGNOSTIC / downstream'. The design is concurrent classification: same-day spirometry, no follow-up period, and the paper's own aim is to classify. The downstream half of the reading stands; the prognostic label does not."
Q,ruaeh/Dysphagia-ML,Scientific Reports 2022 (PMC9537337),RS2 target validity and surrogate substitution,"downstream label, concurrent ascertainment: the model classifies a management and risk category (tube feeding, respiratory risk) rather than the instrumental scale itself","voice was recorded at enrolment and the respiratory-risk label uses same-day spirometry with chest radiography, so ascertainment is concurrent and the stated aim is to classify rather than to predict a later event",clinician judgment,fulltext-verified,"RS2 previously read 'PROGNOSTIC / downstream'. The design is concurrent classification: same-day spirometry, no follow-up period, and the paper's own aim is to classify. The downstream half of the reading stands; the prognostic label does not."
Q,ruaeh/Dysphagia-ML,Scientific Reports 2022 (PMC9537337),RS3 label scale and granularity,binary risk,yes (binary; PAS descriptive only),text-verifiable,fulltext-verified,"RS2 previously read 'PROGNOSTIC / downstream'. The design is concurrent classification: same-day spirometry, no follow-up period, and the paper's own aim is to classify. The downstream half of the reading stands; the prognostic label does not."
Q,ruaeh/Dysphagia-ML,Scientific Reports 2022 (PMC9537337),RS4 label reliability,NR,full text: targets are tube feeding and respiratory complication; the only blinding concerns the phonation recording; no label kappa or ICC,text-verifiable,fulltext-verified,"RS2 previously read 'PROGNOSTIC / downstream'. The design is concurrent classification: same-day spirometry, no follow-up period, and the paper's own aim is to classify. The downstream half of the reading stands; the prognostic label does not."
Q,ruaeh/Dysphagia-ML,Scientific Reports 2022 (PMC9537337),RS5 spectrum,post-stroke patients referred for swallowing assessment; no control arm,"449 post-stroke patients, 2019-2021; 234 tube feeding, 113 high respiratory risk",clinician judgment,fulltext-verified,"RS2 previously read 'PROGNOSTIC / downstream'. The design is concurrent classification: same-day spirometry, no follow-up period, and the paper's own aim is to classify. The downstream half of the reading stands; the prognostic label does not."
R,PRI2MA/DL_NTCP,Radiotherapy & Oncology 2025 (PMC12520315),RS1 reference-standard type,clinician-reported toxicity (CTCAEv4; MDACC PSS-HN) — NOT instrumental,"full text: 'physician-rated dysphagia was scored using the adjusted Common Terminology Criteria for Adverse Events (CTCAEv4)' and, at the validation site, 'clinician-rated dysphagia was assessed using the diet normalcy question from the PSS-HN'",text-verifiable,fulltext-verified,"RS4 remains not reported, which the source confirms. The manuscript previously marked this row not applicable on the ground that a prognostic target has no raters; the endpoint is physician-graded, so raters exist and the item applies. RS3 now records the second endpoint scale used in the validation cohort."
R,PRI2MA/DL_NTCP,Radiotherapy & Oncology 2025 (PMC12520315),RS2 target validity and surrogate substitution,PROGNOSTIC: NTCP prediction of late dysphagia toxicity (not diagnosis or assessment); borderline,"the endpoint is measured six months after radiotherapy and predicted from pre-treatment dose, CT and segmentations, so the target is genuinely prognostic",clinician judgment,fulltext-verified,"RS4 remains not reported, which the source confirms. The manuscript previously marked this row not applicable on the ground that a prognostic target has no raters; the endpoint is physician-graded, so raters exist and the item applies. RS3 now records the second endpoint scale used in the validation cohort."
R,PRI2MA/DL_NTCP,Radiotherapy & Oncology 2025 (PMC12520315),RS3 label scale and granularity,ordinal CTCAE 0-4 dichotomized at grade >= 2; the external cohort uses a different instrument (PSS-HN diet normalcy <= 60),yes (grade >= 2),text-verifiable,fulltext-verified,"RS4 remains not reported, which the source confirms. The manuscript previously marked this row not applicable on the ground that a prognostic target has no raters; the endpoint is physician-graded, so raters exist and the item applies. RS3 now records the second endpoint scale used in the validation cohort."
R,PRI2MA/DL_NTCP,Radiotherapy & Oncology 2025 (PMC12520315),RS4 label reliability,NR,"full text: the endpoint is physician-rated CTCAEv4 at UMCG and clinician-rated PSS-HN at MDACC; no kappa, ICC or agreement statistic for either, and the two cohorts use different scales",text-verifiable,fulltext-verified,"RS4 remains not reported, which the source confirms. The manuscript previously marked this row not applicable on the ground that a prognostic target has no raters; the endpoint is physician-graded, so raters exist and the item applies. RS3 now records the second endpoint scale used in the validation cohort."
R,PRI2MA/DL_NTCP,Radiotherapy & Oncology 2025 (PMC12520315),RS5 spectrum,head-and-neck cancer after radiotherapy,1112 UMCG patients plus 338 external validation patients with head-and-neck cancer treated with radiotherapy,clinician judgment,fulltext-verified,"RS4 remains not reported, which the source confirms. The manuscript previously marked this row not applicable on the ground that a prognostic target has no raters; the endpoint is physician-graded, so raters exist and the item applies. RS3 now records the second endpoint scale used in the validation cohort."
I,arivv22/sound,publication unclear (student project?),RS1 reference-standard type,unclear (sound label),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
I,arivv22/sound,publication unclear (student project?),RS2 target validity and surrogate substitution,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
I,arivv22/sound,publication unclear (student project?),RS3 label scale and granularity,unclear,unclear,text-verifiable,inventory-only,
I,arivv22/sound,publication unclear (student project?),RS4 label reliability,NR,no publication link; low label provenance,text-verifiable,inventory-only,
I,arivv22/sound,publication unclear (student project?),RS5 spectrum,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
J,Kai-Washino,publication unclear,RS1 reference-standard type,unclear,full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
J,Kai-Washino,publication unclear,RS2 target validity and surrogate substitution,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
J,Kai-Washino,publication unclear,RS3 label scale and granularity,unclear,unclear,text-verifiable,inventory-only,
J,Kai-Washino,publication unclear,RS4 label reliability,NR,publication link unclear,text-verifiable,inventory-only,
J,Kai-Washino,publication unclear,RS5 spectrum,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
K,YashC1308+Tanishq/sEMG,publication unclear (laryngectomy),RS1 reference-standard type,sEMG larynx function (reference standard unclear),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
K,YashC1308+Tanishq/sEMG,publication unclear (laryngectomy),RS2 target validity and surrogate substitution,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
K,YashC1308+Tanishq/sEMG,publication unclear (laryngectomy),RS3 label scale and granularity,unclear,unclear,text-verifiable,inventory-only,
K,YashC1308+Tanishq/sEMG,publication unclear (laryngectomy),RS4 label reliability,NR,laryngectomy sEMG; unclear whether dysphagia-specific (borderline),text-verifiable,inventory-only,
K,YashC1308+Tanishq/sEMG,publication unclear (laryngectomy),RS5 spectrum,laryngectomy,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
L,20206666/chew-swallow,publication unclear,RS1 reference-standard type,chewing/swallowing classification,full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
L,20206666/chew-swallow,publication unclear,RS2 target validity and surrogate substitution,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
L,20206666/chew-swallow,publication unclear,RS3 label scale and granularity,unclear,unclear,text-verifiable,inventory-only,
L,20206666/chew-swallow,publication unclear,RS4 label reliability,NR,no description; low provenance,text-verifiable,inventory-only,
L,20206666/chew-swallow,publication unclear,RS5 spectrum,unclear,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
M,Video-SwinUNet,scoping candidate,RS1 reference-standard type,instrumental (VFSS),full text not retrieved through our channels; coded from repository metadata only,text-verifiable,inventory-only,
M,Video-SwinUNet,scoping candidate,RS2 target validity and surrogate substitution,segmentation label,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
M,Video-SwinUNet,scoping candidate,RS3 label scale and granularity,swallow segmentation,n/a (segmentation),text-verifiable,inventory-only,
M,Video-SwinUNet,scoping candidate,RS4 label reliability,NR,from scoping; label provenance unclear,text-verifiable,inventory-only,
M,Video-SwinUNet,scoping candidate,RS5 spectrum,NR,full text not retrieved through our channels; coded from repository metadata only,clinician judgment,inventory-only,
